Date, Open, High, Low, Close
09/28/21, 30142.38, 30207.63, 30001.99, 30183.96
09/27/21, 30277.82, 30414.61, 30197.40, 30240.06
09/24/21, 30141.61, 30276.38, 30110.30, 30248.81
09/22/21, 29744.73, 29868.10, 29573.88, 29639.40
09/21/21, 30021.25, 30051.00, 29832.52, 29839.71
09/17/21, 30387.54, 30541.99, 30358.93, 30500.05
09/16/21, 30606.15, 30622.39, 30202.51, 30323.34
09/15/21, 30464.17, 30573.41, 30347.30, 30511.71
09/14/21, 30584.77, 30795.78, 30504.81, 30670.10
09/13/21, 30372.02, 30447.37, 30229.01, 30447.37
09/10/21, 30089.45, 30381.84, 30064.02, 30381.84
09/09/21, 29959.21, 30097.56, 29909.92, 30008.19
09/08/21, 29819.55, 30241.87, 29787.13, 30181.21
09/07/21, 29883.92, 30048.23, 29838.43, 29916.14
09/06/21, 29501.22, 29705.04, 29469.35, 29659.89
09/03/21, 28626.48, 29149.65, 28607.87, 29128.11
09/02/21, 28522.46, 28626.20, 28412.91, 28543.51
09/01/21, 28179.04, 28457.67, 28179.04, 28451.02
08/31/21, 27690.77, 28158.95, 27602.21, 28089.54
08/30/21, 27867.60, 27921.55, 27656.63, 27789.29
08/27/21, 27581.24, 27670.66, 27481.23, 27641.14
08/26/21, 27793.63, 27828.28, 27684.50, 27742.29
08/25/21, 27768.13, 27897.72, 27684.05, 27724.80
08/24/21, 27653.23, 27817.89, 27653.23, 27732.10
08/23/21, 27193.10, 27541.63, 27193.10, 27494.24
08/20/21, 27238.45, 27316.79, 26954.81, 27013.25
08/19/21, 27398.58, 27504.80, 27255.58, 27281.17
08/18/21, 27418.08, 27671.57, 27347.77, 27585.91
08/17/21, 27666.94, 27750.39, 27424.47, 27424.47
08/16/21, 27806.11, 27833.21, 27427.38, 27523.19
08/13/21, 28038.96, 28070.00, 27949.33, 27977.15
08/12/21, 28177.20, 28279.80, 28006.31, 28015.02
08/11/21, 28045.84, 28146.68, 27974.99, 28070.51
08/10/21, 27887.03, 28128.61, 27808.54, 27888.15
08/06/21, 27709.22, 27888.87, 27709.22, 27820.04
08/05/21, 27526.67, 27741.55, 27526.67, 27728.12
08/04/21, 27612.90, 27636.34, 27488.74, 27584.08
08/03/21, 27580.03, 27724.45, 27492.40, 27641.83
08/02/21, 27493.32, 27834.60, 27493.32, 27781.02
07/30/21, 27677.89, 27699.35, 27272.49, 27283.59
07/29/21, 27722.61, 27798.05, 27663.41, 27782.42
07/28/21, 27674.99, 27809.86, 27466.99, 27581.66
07/27/21, 27911.93, 28036.23, 27862.69, 27970.22
07/26/21, 27990.47, 28036.47, 27786.44, 27833.29
07/21/21, 27747.06, 27882.43, 27438.07, 27548.00
07/20/21, 27351.80, 27564.52, 27330.15, 27388.16
07/19/21, 27663.40, 27792.52, 27493.63, 27652.74
07/16/21, 28039.26, 28201.30, 27847.35, 28003.08
07/15/21, 28539.32, 28571.72, 28240.21, 28279.09
07/14/21, 28517.31, 28696.80, 28482.82, 28608.49
07/13/21, 28713.82, 28852.31, 28699.04, 28718.24
07/12/21, 28412.70, 28595.12, 28405.60, 28569.02
07/09/21, 27739.42, 28000.02, 27419.40, 27940.42
07/08/21, 28332.63, 28366.76, 28118.03, 28118.03
07/07/21, 28262.40, 28434.99, 28161.75, 28366.95
07/06/21, 28677.95, 28748.23, 28587.61, 28643.21
07/05/21, 28709.57, 28731.07, 28581.08, 28598.19
07/02/21, 28719.24, 28849.32, 28688.63, 28783.28
07/01/21, 28832.41, 28833.17, 28624.80, 28707.04
06/30/21, 28896.31, 28998.99, 28779.76, 28791.53
06/29/21, 28927.44, 28951.68, 28735.55, 28812.61
06/28/21, 29112.66, 29121.28, 28984.93, 29048.02
06/25/21, 29137.30, 29174.17, 28992.74, 29066.18
06/24/21, 28811.82, 28935.34, 28758.37, 28875.23
06/23/21, 28886.92, 29007.83, 28860.06, 28874.89
06/22/21, 28513.07, 28895.26, 28494.46, 28884.13
06/21/21, 28506.84, 28506.84, 27795.86, 28010.93
06/18/21, 29136.74, 29136.74, 28957.98, 28964.08
06/17/21, 29149.34, 29197.68, 28875.39, 29018.33
06/16/21, 29306.14, 29434.10, 29263.72, 29291.01
06/15/21, 29256.03, 29480.85, 29235.71, 29441.30
06/14/21, 29153.11, 29208.35, 29026.27, 29161.80
06/11/21, 29030.04, 29080.89, 28839.54, 28948.73
06/10/21, 28799.74, 29007.53, 28799.74, 28958.56
06/09/21, 28901.56, 28932.03, 28801.83, 28860.80
06/08/21, 29046.03, 29140.68, 28897.64, 28963.56
06/07/21, 29214.00, 29241.20, 28973.05, 29019.24
