Date, Open, High, Low, Close
03/25/22, 13529.79, 13529.79, 13529.79, 13529.79
03/24/22, 13788.97, 13788.97, 13788.97, 13788.97
03/23/22, 13843.50, 13843.50, 13843.50, 13843.50
03/22/22, 13746.68, 13746.68, 13746.68, 13746.68
03/21/22, 13725.45, 13725.45, 13725.45, 13725.45
03/18/22, 13792.44, 13792.44, 13792.44, 13792.44
03/17/22, 13624.35, 13624.35, 13624.35, 13624.35
03/16/22, 13322.30, 13322.30, 13322.30, 13322.30
03/15/22, 12712.98, 12712.98, 12712.98, 12712.98
03/14/22, 13363.62, 13363.62, 13363.62, 13363.62
03/11/22, 13846.46, 13846.46, 13846.46, 13846.46
03/10/22, 13829.96, 13829.96, 13829.96, 13829.96
03/09/22, 13644.96, 13644.96, 13644.96, 13644.96
03/08/22, 13722.87, 13722.87, 13722.87, 13722.87
03/07/22, 13904.27, 13904.27, 13904.27, 13904.27
03/04/22, 14417.24, 14417.24, 14417.24, 14417.24
03/03/22, 14654.44, 14654.44, 14654.44, 14654.44
03/02/22, 14764.13, 14764.13, 14764.13, 14764.13
03/01/22, 14928.45, 14928.45, 14928.45, 14928.45
02/28/22, 14733.32, 14733.32, 14733.32, 14733.32
02/25/22, 14711.55, 14711.55, 14711.55, 14711.55
02/24/22, 14591.85, 14591.85, 14591.85, 14591.85
02/23/22, 14912.12, 14912.12, 14912.12, 14912.12
02/22/22, 14835.39, 14835.39, 14835.39, 14835.39
02/21/22, 15074.38, 15074.38, 15074.38, 15074.38
02/18/22, 15192.66, 15192.66, 15192.66, 15192.66
02/17/22, 15097.29, 15097.29, 15097.29, 15097.29
02/16/22, 15079.73, 15079.73, 15079.73, 15079.73
02/15/22, 15007.70, 15007.70, 15007.70, 15007.70
02/14/22, 14952.22, 14952.22, 14952.22, 14952.22
02/11/22, 15106.71, 15106.71, 15106.71, 15106.71
02/10/22, 15131.53, 15131.53, 15131.53, 15131.53
02/09/22, 15142.59, 15142.59, 15142.59, 15142.59
02/08/22, 14967.63, 14967.63, 14967.63, 14967.63
02/07/22, 15041.65, 15041.65, 15041.65, 15041.65
02/04/22, 14769.78, 14769.78, 14769.78, 14769.78
02/03/22, 14769.78, 14769.78, 14769.78, 14769.78
02/02/22, 14769.78, 14769.78, 14769.78, 14769.78
02/01/22, 14769.78, 14769.78, 14769.78, 14769.78
01/31/22, 14769.78, 14769.78, 14769.78, 14769.78
01/28/22, 14769.78, 14769.78, 14769.78, 14769.78
01/27/22, 15024.56, 15024.56, 15024.56, 15024.56
01/26/22, 15226.31, 15226.31, 15226.31, 15226.31
01/25/22, 15104.22, 15104.22, 15104.22, 15104.22
01/24/22, 15408.24, 15408.24, 15408.24, 15408.24
01/21/22, 15461.31, 15461.31, 15461.31, 15461.31
01/20/22, 15499.52, 15499.52, 15499.52, 15499.52
01/19/22, 15230.69, 15230.69, 15230.69, 15230.69
01/18/22, 15297.27, 15297.27, 15297.27, 15297.27
01/17/22, 15147.46, 15147.46, 15147.46, 15147.46
01/14/22, 15064.20, 15064.20, 15064.20, 15064.20
01/13/22, 15252.44, 15252.44, 15252.44, 15252.44
01/12/22, 15511.14, 15511.14, 15511.14, 15511.14
01/11/22, 15347.18, 15347.18, 15347.18, 15347.18
01/10/22, 15446.20, 15446.20, 15446.20, 15446.20
01/07/22, 15404.55, 15404.55, 15404.55, 15404.55
01/06/22, 15359.03, 15359.03, 15359.03, 15359.03
01/05/22, 15614.93, 15614.93, 15614.93, 15614.93
01/04/22, 15654.20, 15654.20, 15654.20, 15654.20
01/03/22, 15698.01, 15698.01, 15698.01, 15698.01
